Time (GMT-04:00),Transverse accel - peaks,Longitudinal accel - peaks,Heat flux - average,Skin temp - average,Transverse accel - average,Longitudinal accel - average,Near-body temp - average,Transverse accel - MAD,Longitudinal accel - MAD,Step Counter,GSR - average,Lying down,Sleep,Physical Activity,Energy expenditure,Sedentary,Moderate,Vigorous,Very Vigorous,METS
39015.0326389,0.0,0.0,55.6016654968,32.4341278076,-0.793571472168,-0.138044983149,32.1912918091,0.0164897963405,0.0502006933093,0.0,0.0197810027748,1.0,0.0,0.0,1.46856319904,1.0,0.0,0.0,0.0,1.11004245281
39015.0333333,4.0,2.0,52.8633995056,32.589099884,-0.801816344261,-0.129678204656,32.3236427307,0.0494693890214,0.0502006933093,0.0,0.0219789873809,1.0,0.0,0.0,1.48719906807,1.0,0.0,0.0,0.0,1.1241286993
39015.0340278,0.0,1.0,53.0057525635,32.7000083923,-0.801816344261,-0.125494807959,32.4341278076,0.0494693890214,0.0502006933093,0.0,0.024176992476,1.0,0.0,0.0,1.48587608337,1.0,0.0,0.0,0.0,1.12312865257
39015.0347222,91.0,90.0,61.6103210449,32.7444190979,-0.756469428539,0.317944645882,32.4783706665,0.445224493742,0.301204144955,0.0,0.0234443228692,1.0,0.0,0.0,1.62854731083,1.0,0.0,0.0,0.0,1.23096954823
39015.0354167,2.0,0.0,57.5449676514,32.7888641357,-0.805938780308,0.439262986183,32.5226402283,0.0824489817023,0.0669342577457,0.0,0.024176992476,1.0,1.0,0.0,1.61136126518,1.0,0.0,0.0,0.0,1.21797919273
39015.0361111,2.0,0.0,53.503276825,32.8555793762,-0.805938780308,0.439262986183,32.6112670898,0.0824489817023,0.0669342577457,0.0,0.0249096658081,1.0,1.0,0.0,1.56096673012,1.0,0.0,0.0,0.0,1.17988741398
39015.0368056,5.0,0.0,50.0448226929,32.9223632812,-0.805938780308,0.439262986183,32.6778106689,0.0824489817023,0.0669342577457,0.0,0.0263750180602,1.0,1.0,0.0,1.52691972256,1.0,0.0,0.0,0.0,1.15415239334
39015.0375,3.0,0.0,47.467338562,32.9892158508,-0.805938780308,0.443446367979,32.7666397095,0.0824489817023,0.0669342577457,0.0,0.0278403777629,1.0,1.0,0.0,1.51844155788,1.0,0.0,0.0,0.0,1.14774394035
39015.0381944,2.0,0.0,45.2083358765,33.0784492493,-0.810061216354,0.443446367979,32.8333358765,0.0824489817023,0.0669342577457,0.0,0.0285730604082,1.0,1.0,0.0,1.51847064495,1.0,0.0,0.0,0.0,1.14776599407
39015.0388889,2.0,0.0,43.5106010437,33.1454544067,-0.810061216354,0.443446367979,32.9000968933,0.0824489817023,0.0669342577457,0.0,0.0300384350121,1.0,1.0,0.0,1.51852881908,1.0,0.0,0.0,0.0,1.14780986309
39015.0395833,1.0,0.0,42.1067390442,33.2125282288,-0.810061216354,0.443446367979,32.9892158508,0.0824489817023,0.0669342577457,0.0,0.0315038152039,1.0,1.0,0.0,1.51858699322,1.0,0.0,0.0,0.0,1.14785385132
39015.0402778,6.0,4.0,40.9976615906,33.2796707153,-0.810061216354,0.443446367979,33.0561294556,0.115428574383,0.0669342577457,0.0,0.0322365090251,1.0,1.0,0.0,1.51861608028,1.0,0.0,0.0,0.0,1.14787590504
39015.0409722,2.0,0.0,40.158115387,33.32447052,-0.810061216354,0.443446367979,33.1231117249,0.0824489817023,0.0669342577457,0.0,0.0337019041181,1.0,1.0,0.0,1.51867425442,1.0,0.0,0.0,0.0,1.14791989326
39015.0416667,2.0,0.0,39.0458526611,33.3917236328,-0.810061216354,0.443446367979,33.167804718,0.0824489817023,0.0669342577457,0.0,0.0351673066616,1.0,1.0,0.0,1.51873242855,1.0,0.0,0.0,0.0,1.14796376228
39015.0423611,3.0,0.0,38.2297668457,33.4590492249,-0.810061216354,0.443446367979,33.2349014282,0.0824489817023,0.0669342577457,0.0,0.0359000116587,1.0,1.0,0.0,1.51876163483,1.0,0.0,0.0,0.0,1.14798593521
39015.0430556,1.0,0.0,37.685005188,33.5039672852,-0.810061216354,0.443446367979,33.302066803,0.0824489817023,0.0669342577457,0.0,0.0373654291034,1.0,1.0,0.0,1.51881980896,1.0,0.0,0.0,0.0,1.14802992344
39015.04375,0.0,1.0,37.1653594971,33.5714073181,-0.810061216354,0.443446367979,33.3468780518,0.0824489817023,0.0669342577457,0.0,0.038098141551,1.0,1.0,0.0,1.51884889603,1.0,0.0,0.0,0.0,1.14805185795
39015.0444444,1.0,0.0,36.9181556702,33.6164093018,-0.810061216354,0.443446367979,33.4141578674,0.0824489817023,0.0669342577457,0.0,0.0395635701716,1.0,1.0,0.0,1.51890707016,1.0,0.0,0.0,0.0,1.14809584618
39015.0451389,4.0,1.0,36.3718147278,33.6614379883,-0.810061216354,0.443446367979,33.4590492249,0.0824489817023,0.0669342577457,0.0,0.0402962863445,1.0,1.0,0.0,1.51893615723,1.0,0.0,0.0,0.0,1.14811778069
39015.0458333,1.0,0.0,36.1497993469,33.7290420532,-0.810061216354,0.443446367979,33.5039672852,0.0659591853619,0.0669342577457,0.0,0.0417617298663,1.0,1.0,0.0,1.51899433136,1.0,0.0,0.0,0.0,1.14816176891
39015.0465278,1.0,1.0,35.9019317627,33.7741508484,-0.810061216354,0.443446367979,33.5489196777,0.0659591853619,0.0669342577457,0.0,0.0424944534898,1.0,1.0,0.0,1.51902341843,1.0,0.0,0.0,0.0,1.14818382263
39015.0472222,2.0,0.0,35.6538963318,33.8192901611,-0.810061216354,0.443446367979,33.5939025879,0.0824489817023,0.0669342577457,0.0,0.0432271808386,1.0,1.0,0.0,1.51905250549,1.0,0.0,0.0,0.0,1.14820575714
39015.0479167,1.0,0.0,35.4056968689,33.8644638062,-0.810061216354,0.443446367979,33.6389198303,0.0824489817023,0.0669342577457,0.0,0.0446926392615,1.0,1.0,0.0,1.51911067963,1.0,0.0,0.0,0.0,1.14824974537
39015.0486111,3.0,0.0,35.4315452576,33.8870620728,-0.810061216354,0.443446367979,33.6839637756,0.0659591853619,0.0669342577457,0.0,0.0454253703356,1.0,1.0,0.0,1.51913976669,1.0,0.0,0.0,0.0,1.14827167988
39015.0493056,1.0,0.0,35.1832008362,33.9322814941,-0.810061216354,0.443446367979,33.7290420532,0.0824489817023,0.0669342577457,0.0,0.046158105135,1.0,1.0,0.0,1.51916885376,1.0,0.0,0.0,0.0,1.1482937336
39015.05,47.0,45.0,38.2124176025,33.9549064636,-0.418428570032,0.284477502108,33.7515945435,0.313306123018,0.200802773237,0.0,0.0483563244343,1.0,1.0,0.0,1.60306954384,1.0,0.0,0.0,0.0,1.21171164513
39015.0506944,4.0,0.0,37.0644721985,34.0001754761,-0.344224512577,0.292844295502,33.7741508484,0.0824489817023,0.0669342577457,0.0,0.0490890666842,1.0,0.0,0.0,1.58411407471,1.0,0.0,0.0,0.0,1.19738376141
39015.0513889,4.0,0.0,37.391872406,34.022819519,-0.344224512577,0.292844295502,33.7967185974,0.0824489817023,0.0502006933093,0.0,0.0498218126595,1.0,1.0,0.0,1.53247964382,1.0,0.0,0.0,0.0,1.15835487843
39015.0520833,8.0,0.0,37.993144989,34.022819519,-0.344224512577,0.292844295502,33.8192901611,0.0824489817023,0.0669342577457,0.0,0.0512873120606,1.0,1.0,0.0,1.51308095455,1.0,0.0,0.0,0.0,1.1436920166
39015.0527778,5.0,0.0,38.621761322,34.0454750061,-0.344224512577,0.292844295502,33.8192901611,0.0824489817023,0.0669342577457,0.0,0.0520200654864,1.0,1.0,0.0,1.51418495178,1.0,0.0,0.0,0.0,1.14452648163
39015.0534722,10.0,1.0,39.2232170105,34.0454750061,-0.344224512577,0.288660913706,33.8192901611,0.0824489817023,0.0669342577457,0.0,0.0527528189123,1.0,1.0,0.0,1.51841080189,1.0,0.0,0.0,0.0,1.14772069454
39015.0541667,6.0,0.0,39.8246612549,34.0454750061,-0.344224512577,0.288660913706,33.8192901611,0.0824489817023,0.0502006933093,0.0,0.0534855760634,1.0,1.0,0.0,1.50412082672,1.0,0.0,0.0,0.0,1.13691937923
39015.0548611,6.0,0.0,40.1533355713,34.0681381226,-0.344224512577,0.288660913706,33.8418731689,0.0824489817023,0.0502006933093,0.0,0.0542183332145,1.0,1.0,0.0,1.49228549004,1.0,0.0,0.0,0.0,1.1279733181
39015.0555556,10.0,0.0,40.4541549683,34.0681381226,-0.340102046728,0.288660913706,33.8418731689,0.0824489817023,0.0502006933093,0.0,0.0549510940909,1.0,1.0,0.0,1.48709797859,1.0,0.0,0.0,0.0,1.12405228615
39015.05625,12.0,0.0,41.0557861328,34.0681381226,-0.340102046728,0.288660913706,33.8418731689,0.0824489817023,0.0502006933093,0.0,0.0556838549674,1.0,1.0,0.0,1.48610711098,1.0,0.0,0.0,0.0,1.12330329418
39015.0569444,10.0,0.0,41.0841293335,34.0908088684,-0.340102046728,0.288660913706,33.8644638062,0.0824489817023,0.0502006933093,0.0,0.0578821562231,1.0,1.0,0.0,1.48619437218,1.0,0.0,0.0,0.0,1.12336933613
39015.0576389,47.0,31.0,42.2877807617,34.0908088684,-0.418428570032,0.25937718153,33.8644638062,0.214367359877,0.133868515491,0.0,0.0622788183391,1.0,1.0,0.0,1.54913163185,1.0,0.0,0.0,0.0,1.17094171047
39015.0583333,0.0,0.0,59.0641822815,34.0454750061,-0.694632649422,0.0836747437716,33.7741508484,0.0329795926809,0.0334671288729,0.0,0.0681411549449,1.0,1.0,0.0,1.50600886345,1.0,0.0,0.0,0.0,1.13834643364
39015.0590278,1.0,0.0,69.0523681641,33.9096679688,-0.694632649422,0.0836747437716,33.6164093018,0.0329795926809,0.0167335644364,0.0,0.0666755586863,1.0,1.0,0.0,1.44096398354,1.0,0.0,0.0,0.0,1.08918094635
39015.0597222,0.0,0.0,70.6985473633,33.8192901611,-0.694632649422,0.0836747437716,33.5264396667,0.0329795926809,0.0502006933093,0.0,0.0674083530903,1.0,1.0,0.0,1.44119918346,1.0,0.0,0.0,0.0,1.08935880661
39015.0604167,0.0,0.0,69.7254333496,33.7741508484,-0.694632649422,0.0836747437716,33.4815063477,0.0329795926809,0.0502006933093,0.0,0.0666755586863,1.0,1.0,0.0,1.46013724804,1.0,0.0,0.0,0.0,1.1036734581
39015.0611111,0.0,0.0,68.4918212891,33.7515945435,-0.694632649422,0.0836747437716,33.4590492249,0.0329795926809,0.0502006933093,0.0,0.0666755586863,1.0,1.0,0.0,1.47281265259,1.0,0.0,0.0,0.0,1.11325442791
39015.0618056,0.0,0.0,66.6611251831,33.7290420532,-0.694632649422,0.0836747437716,33.4365997314,0.0329795926809,0.0334671288729,0.0,0.0674083530903,1.0,1.0,0.0,1.45743346214,1.0,0.0,0.0,0.0,1.10162973404
39015.0625,50.0,40.0,66.3260498047,33.7065010071,-0.682265341282,0.13387542963,33.4365997314,0.230857148767,0.184069216251,0.0,0.0659427642822,1.0,1.0,0.0,1.53192913532,1.0,0.0,0.0,0.0,1.15793883801
39015.0631944,2.0,0.0,62.7393379211,33.7065010071,-0.73173469305,0.225910037756,33.4365997314,0.0659591853619,0.0669342577457,0.0,0.0644771754742,1.0,0.0,0.0,1.53454875946,1.0,0.0,0.0,0.0,1.1599189043
39015.0638889,29.0,26.0,63.073223114,33.7290420532,-0.810061216354,0.188259512186,33.4590492249,0.164897963405,0.133868515491,0.0,0.0644771754742,1.0,0.0,0.0,1.58537518978,1.0,0.0,0.0,0.0,1.19833707809
39015.0645833,36.0,28.0,92.1821289062,33.6389198303,-0.682265341282,0.154792398214,33.302066803,0.164897963405,0.117134951055,0.0,0.0652099698782,1.0,0.0,0.0,1.59323704243,1.0,0.0,0.0,0.0,1.20427954197
39015.0652778,5.0,1.0,112.943214417,33.4590492249,-0.624551057816,0.179892733693,33.0784492493,0.0824489817023,0.0669342577457,0.0,0.0644771754742,1.0,1.0,0.0,1.53339612484,1.0,0.0,0.0,0.0,1.15904760361
39015.0659722,5.0,0.0,124.34362793,33.2572822571,-0.620428562164,0.179892733693,32.8555793762,0.0989387780428,0.0669342577457,0.0,0.0644771754742,1.0,1.0,0.0,1.50439977646,1.0,0.0,0.0,0.0,1.13713014126
39015.0666667,3.0,0.0,129.827209473,33.0784492493,-0.620428562164,0.179892733693,32.6556243896,0.0824489817023,0.0669342577457,0.0,0.0644771754742,1.0,1.0,0.0,1.49113249779,1.0,0.0,0.0,0.0,1.12710189819
39015.0673611,4.0,0.0,136.465591431,32.9000968933,-0.616306126118,0.179892733693,32.4562454224,0.0989387780428,0.0669342577457,0.0,0.0637443885207,1.0,1.0,0.0,1.48864543438,1.0,0.0,0.0,0.0,1.1252219677
39015.0680556,5.0,0.0,141.368164062,32.7444190979,-0.612183690071,0.18407613039,32.3015670776,0.0989387780428,0.0669342577457,0.0,0.0637443885207,1.0,1.0,0.0,1.48864543438,1.0,0.0,0.0,0.0,1.1252219677
39015.06875,0.0,0.0,145.373199463,32.589099884,-0.612183690071,0.18407613039,32.1252098083,0.0824489817023,0.0669342577457,0.0,0.0630116015673,1.0,1.0,0.0,1.48861634731,1.0,0.0,0.0,0.0,1.12520003319
39015.0694444,0.0,0.0,147.081207275,32.4562454224,-0.612183690071,0.18407613039,31.9932289124,0.0824489817023,0.0502006933093,0.0,0.0630116015673,1.0,1.0,0.0,1.4732773304,1.0,0.0,0.0,0.0,1.11360573769
39015.0701389,3.0,1.0,147.617721558,32.3236427307,-0.612183690071,0.18407613039,31.8614902496,0.0824489817023,0.0502006933093,0.0,0.0622788183391,1.0,1.0,0.0,1.46138381958,1.0,0.0,0.0,0.0,1.10461568832
39015.0708333,4.0,0.0,147.044998169,32.2133331299,-0.608061254025,0.18407613039,31.7518901825,0.0824489817023,0.0502006933093,0.0,0.061546035111,1.0,1.0,0.0,1.45613801479,1.0,0.0,0.0,0.0,1.10065054893
39015.0715278,1.0,0.0,149.680252075,32.1031951904,-0.608061254025,0.18407613039,31.6424560547,0.0824489817023,0.0502006933093,0.0,0.061546035111,1.0,1.0,0.0,1.45511817932,1.0,0.0,0.0,0.0,1.09987974167
39015.0722222,2.0,0.0,150.274276733,31.9932289124,-0.608061254025,0.18407613039,31.5331840515,0.0824489817023,0.0502006933093,0.0,0.0608132556081,1.0,1.0,0.0,1.45508909225,1.0,0.0,0.0,0.0,1.09985768795
39015.0729167,5.0,0.0,150.052841187,31.9053764343,-0.608061254025,0.18407613039,31.4240722656,0.0824489817023,0.0502006933093,0.0,0.0608132556081,1.0,1.0,0.0,1.45508909225,1.0,0.0,0.0,0.0,1.09985768795
39015.0736111,2.0,0.0,150.993988037,31.8176307678,-0.608061254025,0.18407613039,31.3368988037,0.0824489817023,0.0502006933093,0.0,0.0600804798305,1.0,1.0,0.0,1.45505988598,1.0,0.0,0.0,0.0,1.09983563423
39015.0743056,3.0,1.0,150.195785522,31.7299919128,-0.608061254025,0.18407613039,31.2715835571,0.0989387780428,0.0502006933093,0.0,0.0600804798305,1.0,1.0,0.0,1.45505988598,1.0,0.0,0.0,0.0,1.09983563423
39015.075,9.0,0.0,150.612747192,31.6643295288,-0.608061254025,0.18407613039,31.2063274384,0.0989387780428,0.0502006933093,0.0,0.0600804798305,1.0,1.0,0.0,1.45505988598,1.0,0.0,0.0,0.0,1.09983563423
39015.0756944,11.0,5.0,149.058105469,31.6205883026,-0.603938817978,0.18407613039,31.1411247253,0.0989387780428,0.0669342577457,0.0,0.0600804798305,1.0,1.0,0.0,1.47039890289,1.0,0.0,0.0,0.0,1.11142992973
39015.0763889,9.0,0.0,150.055175781,31.5550251007,-0.562714278698,0.175709351897,31.0759792328,0.0989387780428,0.0502006933093,0.0,0.0593477040529,1.0,1.0,0.0,1.46689534187,1.0,0.0,0.0,0.0,1.10878169537
39015.0770833,3.0,1.0,150.709411621,31.4676971436,-0.562714278698,0.175709351897,31.0108890533,0.0824489817023,0.0502006933093,0.0,0.0593477040529,1.0,1.0,0.0,1.46024751663,1.0,0.0,0.0,0.0,1.10375678539
39015.0777778,10.0,0.0,150.550918579,31.4022693634,-0.558591842651,0.179892733693,30.945854187,0.0989387780428,0.0502006933093,0.0,0.0593477040529,1.0,1.0,0.0,1.45605075359,1.0,0.0,0.0,0.0,1.1005846262
39015.0784722,17.0,1.0,150.970169067,31.3368988037,-0.558591842651,0.179892733693,30.8592243195,0.0989387780428,0.0502006933093,0.0,0.0586149282753,1.0,1.0,0.0,1.45500171185,1.0,0.0,0.0,0.0,1.099791646
39015.0791667,11.0,0.0,150.813476562,31.2715835571,-0.554469406605,0.179892733693,30.815946579,0.0989387780428,0.0669342577457,0.0,0.0586149282753,1.0,1.0,0.0,1.47034072876,1.0,0.0,0.0,0.0,1.11138594151
39015.0798611,9.0,1.0,149.845932007,31.2280731201,-0.554469406605,0.179892733693,30.7510738373,0.0989387780428,0.0669342577457,0.0,0.0578821562231,1.0,1.0,0.0,1.48217606544,1.0,0.0,0.0,0.0,1.12033200264
39015.0805556,13.0,0.0,149.404174805,31.162853241,-0.554469406605,0.179892733693,30.7078552246,0.0989387780428,0.0669342577457,0.0,0.0578821562231,1.0,1.0,0.0,1.48739266396,1.0,0.0,0.0,0.0,1.12427508831
39015.08125,17.0,0.0,148.439682007,31.1194038391,-0.550346970558,0.179892733693,30.6646614075,0.0989387780428,0.0669342577457,0.0,0.0600804798305,1.0,1.0,0.0,1.48849987984,1.0,0.0,0.0,0.0,1.12511193752
39015.0819444,8.0,0.0,149.48815918,31.0759792328,-0.550346970558,0.179892733693,30.5999126434,0.0989387780428,0.0669342577457,0.0,0.0608132556081,1.0,1.0,0.0,1.4885289669,1.0,0.0,0.0,0.0,1.12513399124
39015.0826389,12.0,0.0,147.901062012,31.0108890533,-0.550346970558,0.179892733693,30.5567779541,0.0989387780428,0.0669342577457,0.0,0.0659427642822,1.0,1.0,0.0,1.48873269558,1.0,0.0,0.0,0.0,1.12528789043
39015.0833333,7.0,0.0,148.949371338,30.9675254822,-0.546224474907,0.179892733693,30.4921169281,0.0989387780428,0.0669342577457,0.0,0.0967220067978,1.0,1.0,0.0,1.48995471001,1.0,0.0,0.0,0.0,1.12621164322
39015.0840278,106.0,90.0,151.430892944,30.9241867065,-0.381326556206,-0.0501937717199,30.4490394592,0.494693875313,0.485273361206,6.0,0.101852245629,1.0,1.0,0.0,1.4866758585,1.0,0.0,0.0,0.0,1.12373328209
